column,description
PROPERTY_CODE,"Original unique property identifier from properties.csv."
LATITUDE,"Original property latitude; used as the property-location proxy."
LONGITUDE,"Original property longitude; used as the property-location proxy."
CITY,"Original city value from the input file. Used by connectivity_score_v3 when the city has at least 20 scored properties."
overall_accessibility_score,"Legacy 0-100 score: 0.5 x connectivity_score + 0.5 x road_width_score. If one component is unavailable, the available component is used. Retained for historical comparison."
overall_accessibility_score_v2,"V2 0-100 score: 0.5 x connectivity_score + 0.5 x vehicle_access_score. Retained for comparison with V3. Blank when either component is unavailable."
connectivity_score,"Legacy normalized beta score, capped to 0-100: 100 x (beta - 0.8) / (2.5 - 0.8). Retained for historical comparison."
road_width_score,"Legacy normalized width score, capped to 0-100: 100 x (width_m - 2) / (10 - 2). Retained for historical comparison."
vehicle_access_score,"V2 0-100 vehicle-arrival proxy: road class (40%), motorcycle-width suitability (30%), coordinate-to-road proximity (30%), minus restrictions. A 2 m or wider approach scores 100 for motorcycle-width suitability; private access receives a smaller penalty when motorcycle=yes."
guest_convenience_score,"0-100 nearby-amenity proxy: POI volume (70%, capped at 12) and POI-category diversity (30%, capped at 6), using a 1 km straight-line radius."
operational_access_score,"0-100 operating-access proxy: coordinate-to-road proximity (40%) plus points for two-way, non-service/non-track, at least 5 m estimated width, and paved roads."
data_confidence_score,"0-100 confidence in mapping evidence, not access quality. Rewards a nearby drivable road, close coordinate match, sufficient graph data, width evidence, surface tags, and direction/access tags."
beta,"Raw road-connectivity index: graph_links / graph_nodes. Around 1 indicates a tree-like network; higher values indicate more local route alternatives."
graph_nodes,"Number of true network nodes used for beta: intersections and dead ends; intermediate geometry-only points are excluded."
graph_links,"Number of road links connecting graph nodes; a link can contain multiple OSM road segments between intersections."
nearest_road_type,"OpenStreetMap highway=* classification of the closest eligible vehicle road, such as residential, tertiary, secondary, service, or track."
nearest_road_width_m,"Road width in metres used in scoring; may be mapped width, estimated width, lane-based estimate, or configured road-class fallback."
width_source,"Source for nearest_road_width_m: width, estimated_width, lanes_estimate, road_class_fallback, or unavailable."
coordinate_to_road_m,"Estimated shortest distance in metres from the supplied coordinate to the nearest eligible drivable road segment."
nearby_poi_count,"Count of qualifying mapped POIs/transit nodes within 1 km, including food, shopping, pharmacy, health, banking, taxi, ferry, bus, and transit features."
nearby_poi_categories,"Number of distinct qualifying POI/transit categories within the 1 km radius."
flags,"Semicolon-separated review indicators, for example missing_width_used_fallback, one_way_final_approach, dead_end, coordinate_far_from_road, no_nearby_drivable_road, and low_data_confidence."
processing_status,"Processing outcome. scored means metrics were calculated successfully; retry_required means the public API failed after retries."
error_message,"Error detail when processing_status is retry_required; blank for successfully scored rows."
vehicle_access_score_v3,"V3 0-100 final-approach score: road class (35%), motorcycle-width suitability (25%), coordinate-to-road proximity (20%), and access-condition quality (20%). Explicitly blocked vehicle access returns 0. Motorcycle-width suitability is 100 at 2 m or wider, 65 at 1 to under 2 m, 25 below 1 m, and 60 when unknown."
connectivity_score_v3,"V3 0-100 beta percentile score. For cities with at least 20 valid beta values: 75% city beta percentile + 25% national beta percentile. For smaller cities: national beta percentile only. Percentiles use the completed 3,709-property reference population."
base_accessibility_score_v3,"V3 score before confidence adjustment and safeguards: 60% vehicle_access_score_v3 + 40% connectivity_score_v3."
overall_accessibility_score_v3,"Final V3 0-100 score: base_accessibility_score_v3 x (0.85 + 0.15 x data_confidence_score / 100), then accessibility safeguards are applied. Hard-blocked access is 0; vehicle access below 25 is capped at 35; vehicle access from 25 to under 50 is capped at 60. Blank if required input evidence is unavailable."
accessibility_status_v3,"V3 decision status: Good; Review access (vehicle access 25 to under 50); Manual review (vehicle access below 25); Blocked (explicit access restriction); or Insufficient data."
